date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:03	22774/22774	---MCZ	200	added ('OK')	text/html	etag:W/%225ca6075a-58f6%22	https://themesbrand.com/lexa/html/horizontal-teal/index.html	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/index.html	(from )
11:59:08	5980/5980	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2004:59:09%20GMT	https://themesbrand.com/robots.txt		(from )
11:59:08	106731/106731	---M--	200	added ('OK')	image/x-icon	etag:%225b9e0d79-1a0eb%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/images/favicon.ico	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/images/favicon.ico	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:08	433/433	---M--	200	added ('OK')	text/css	etag:%225b9e0d79-1b1%22	https://themesbrand.com/lexa/html/plugins/morris/morris.css	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/plugins/morris/morris.css	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:08	155758/155758	---M--	200	added ('OK')	text/css	etag:%225ca6075a-2606e%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/css/bootstrap.min.css	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/css/bootstrap.min.css	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:08	186437/186437	---M--	200	added ('OK')	text/css	etag:%225b9e0d78-2d845%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/css/icons.css	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/css/icons.css	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:09	50676/50676	---M--	200	added ('OK')	text/css	etag:%225ca6075a-c5f4%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/css/style.css	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/css/style.css	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:09	2827/2827	---M--	200	added ('OK')	image/png	etag:%225b9e0d79-b0b%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/images/logo-sm.png	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/images/logo-sm.png	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:09	3929/3929	---M--	200	added ('OK')	image/png	etag:%225b9e0d79-f59%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/images/logo.png	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/images/logo.png	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:09	4892/4892	---M--	200	added ('OK')	image/jpeg	etag:%225b9e0d79-131c%22	https://themesbrand.com/lexa/html/horizontal-teal/assets/images/users/user-4.jpg	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/assets/images/users/user-4.jpg	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
11:59:09	24400/24400	---MCZ	200	added ('OK')	text/html	etag:W/%225ca6075a-5f50%22	https://themesbrand.com/lexa/html/horizontal-teal/email-inbox.html	C:/Users/SAMD/Desktop/oo/themesbrand.com/lexa/html/horizontal-teal/email-inbox.html	(from https://themesbrand.com/lexa/html/horizontal-teal/index.html)
